,movie,year,imdb,metascore,votes,n_imdb
1742,Wall Street: Money Never Sleeps,2010,6.2,59,90853,62.0
1743,Paranormal Activity 2,2010,5.7,53,90012,57.0
1744,Legion,2010,5.2,32,88659,52.0
1745,Faster,2010,6.5,44,87886,65.0
1746,Dinner for Schmucks,2010,5.9,56,87470,59.0
1747,I Saw the Devil,2010,7.8,67,87254,78.0
1748,The Switch,2010,6.1,52,86977,61.0
1749,My Name Is Khan,2010,8.0,50,85598,80.0
1750,Hereafter,2010,6.5,56,85151,65.0
1751,The American,2010,6.3,61,84843,63.0
1752,Letters to Juliet,2010,6.6,50,82625,66.0
1753,Monsters,2010,6.4,63,82436,64.0
1754,A Nightmare on Elm Street,2010,5.2,35,82400,52.0
1755,Ip Man 2,2010,7.6,67,82257,76.0
1756,Edge of Darkness,2010,6.6,55,82127,66.0
1757,Skyline,2010,4.4,26,81861,44.0
1758,Beginners,2010,7.2,81,81478,72.0
1759,Leap Year,2010,6.5,33,81174,65.0
1760,The Losers,2010,6.4,44,80481,64.0
1761,Cop Out,2010,5.6,31,79635,56.0
1762,Saw 3D: The Final Chapter,2010,5.6,24,79442,56.0
1763,Killers,2010,5.4,21,79305,54.0
1764,Piranha 3D,2010,5.5,53,78775,55.0
1765,Biutiful,2010,7.5,58,77320,75.0
1766,Submarine,2010,7.3,76,76632,73.0
1767,Eat Pray Love,2010,5.7,50,73038,57.0
1768,Elite Squad: The Enemy Within,2010,8.1,71,72750,81.0
1769,Legend of the Guardians: The Owls of Ga'Hoole,2010,7.0,53,71593,70.0
1770,Centurion,2010,6.4,62,71360,64.0
1771,Flipped,2010,7.7,45,71321,77.0
1772,The Last Song,2010,5.9,33,69567,59.0
1773,Super,2010,6.8,50,68173,68.0
1774,Burlesque,2010,6.4,47,67900,64.0
1775,Sex and the City 2,2010,4.4,27,66094,44.0
1776,I Spit on Your Grave,2010,6.3,27,64621,63.0
1777,Morning Glory,2010,6.5,57,64483,65.0
1778,The Secret World of Arrietty,2010,7.6,80,63831,76.0
1779,Four Lions,2010,7.3,68,63557,73.0
1780,Inside Job,2010,8.3,88,63105,83.0
1781,Trollhunter,2010,7.0,61,61076,70.0
1782,Frozen,2010,6.2,43,59667,62.0
1783,The Debt,2010,6.9,65,59352,69.0
1784,Gulliver's Travels,2010,4.9,33,58489,49.0
1785,Exit Through the Gift Shop,2010,8.0,85,56758,80.0
1786,13 Assassins,2010,7.6,84,56363,76.0
1787,When in Rome,2010,5.6,25,55483,56.0
1788,Going the Distance,2010,6.3,51,53431,63.0
1789,Charlie St. Cloud,2010,6.5,37,52792,65.0
1790,Jackass 3D,2010,7.0,56,51735,70.0
1791,Senna,2010,8.6,79,51691,86.0
1792,Step Up 3D,2010,6.2,45,51619,62.0
1793,Takers,2010,6.2,45,51319,62.0
1794,Jonah Hex,2010,4.7,33,50027,47.0
1795,Animal Kingdom,2010,7.3,83,49947,73.0
1796,All Good Things,2010,6.3,57,47443,63.0
1797,Hesher,2010,7.0,45,47297,70.0
1798,You Again,2010,5.8,28,44895,58.0
1799,Everything Must Go,2010,6.4,65,44655,64.0
1800,The Last Exorcism,2010,5.6,63,44598,56.0
1801,The Back-up Plan,2010,5.3,34,44467,53.0
1802,Rabbit Hole,2010,7.0,76,44171,70.0
1803,London Boulevard,2010,6.2,52,43582,62.0
1804,Don't Be Afraid of the Dark,2010,5.6,56,43510,56.0
1805,Last Night,2010,6.6,50,43393,66.0
1806,The Runaways,2010,6.6,65,42711,66.0
1807,Vampires Suck,2010,3.4,18,42225,34.0
1808,Fair Game,2010,6.8,69,42024,68.0
1809,You Will Meet a Tall Dark Stranger,2010,6.3,51,40447,63.0
1810,Death at a Funeral,2010,5.7,51,39913,57.0
1811,Black Death,2010,6.4,71,39675,64.0
1812,The Company Men,2010,6.8,69,39615,68.0
1813,Somewhere,2010,6.3,67,39155,63.0
1814,How Do You Know,2010,5.4,46,38989,54.0
1815,MacGruber,2010,5.5,43,38665,55.0
1816,Conviction,2010,7.2,61,38518,72.0
1817,Trust,2010,6.9,60,38050,69.0
1818,Catfish,2010,7.1,65,37853,71.0
1819,Stake Land,2010,6.5,66,37760,65.0
1820,Stone,2010,5.4,58,37637,54.0
1821,13,2010,6.1,29,37340,61.0
1822,The Ward,2010,5.6,38,36901,56.0
1823,Diary of a Wimpy Kid,2010,6.2,56,36695,62.0
1824,In a Better World,2010,7.6,65,35523,76.0
1825,Tooth Fairy,2010,5.0,36,35305,50.0
1826,The Spy Next Door,2010,5.4,27,34887,54.0
1827,Greenberg,2010,6.1,76,32849,61.0
1828,Wild Target,2010,6.8,41,32701,68.0
1829,Cyrus,2010,6.3,74,31857,63.0
1830,The Illusionist,2010,7.5,82,30817,75.0
1831,The Killer Inside Me,2010,6.1,53,30774,61.0
1832,Rubber,2010,5.8,59,29652,58.0
1833,6 Souls,2010,6.1,28,28989,61.0
1834,"Tomorrow, When the War Began",2010,6.2,54,28639,62.0
1835,The Whistleblower,2010,7.2,59,28367,72.0
1836,Happythankyoumoreplease,2010,6.8,45,27877,68.0
1837,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,87,648598,81.0
1838,Thor,2011,7.0,57,627696,70.0
1839,The Intouchables,2011,8.5,57,624040,85.0
1840,Captain America: The First Avenger,2011,6.9,66,606447,69.0
1841,X-Men: First Class,2011,7.8,65,581647,78.0
1842,Drive,2011,7.8,78,495904,78.0
1843,Limitless,2011,7.4,59,470517,74.0
1844,Rise of the Planet of the Apes,2011,7.6,68,457224,76.0
1845,Source Code,2011,7.5,74,432046,75.0
1846,Pirates of the Caribbean: On Stranger Tides,2011,6.6,45,426349,66.0
1847,"Crazy, Stupid, Love.",2011,7.4,68,419348,74.0
1848,The Hangover Part II,2011,6.5,44,415084,65.0
1849,Mission: Impossible - Ghost Protocol,2011,7.4,73,400715,74.0
1850,Horrible Bosses,2011,6.9,57,385844,69.0
1851,Warrior,2011,8.2,71,385174,82.0
1852,Sherlock Holmes: A Game of Shadows,2011,7.5,48,378040,75.0
1853,The Help,2011,8.1,62,372613,81.0
1854,The Girl with the Dragon Tattoo,2011,7.8,71,370260,78.0
1855,Transformers: Dark of the Moon,2011,6.3,42,354603,63.0
1856,Midnight in Paris,2011,7.7,81,341298,77.0
1857,In Time,2011,6.7,53,334677,67.0
1858,Fast Five,2011,7.3,66,316915,73.0
1859,Moneyball,2011,7.6,87,312614,76.0
1860,Super 8,2011,7.0,72,311153,70.0
1861,Friends with Benefits,2011,6.6,63,303591,66.0
1862,50/50,2011,7.7,72,292985,77.0
1863,Real Steel,2011,7.1,56,276077,71.0
1864,Hugo,2011,7.5,83,273806,75.0
1865,Green Lantern,2011,5.6,39,243773,56.0
1866,Bridesmaids,2011,6.8,75,240558,68.0
1867,Unknown,2011,6.9,56,227952,69.0
1868,The Grey,2011,6.8,64,221465,68.0
1869,The Adjustment Bureau,2011,7.1,60,219384,71.0
1870,The Descendants,2011,7.3,84,218251,73.0
1871,Kung Fu Panda 2,2011,7.3,67,213298,73.0
1872,Sucker Punch,2011,6.1,33,212792,61.0
1873,Paul,2011,7.0,57,212127,70.0
1874,I Am Number Four,2011,6.1,36,211469,61.0
1875,The Artist,2011,7.9,89,210119,79.0
1876,Rango,2011,7.2,75,206110,72.0
1877,The Ides of March,2011,7.1,67,202896,71.0
1878,The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,45,199293,49.0
1879,Contagion,2011,6.6,70,194911,66.0
1880,The Adventures of Tintin,2011,7.4,68,194917,74.0
1881,Just Go with It,2011,6.4,33,192572,64.0
1882,The Lincoln Lawyer,2011,7.3,63,189700,73.0
1883,Cowboys & Aliens,2011,6.0,50,189387,60.0
1884,No Strings Attached,2011,6.2,50,188949,62.0
1885,A Separation,2011,8.3,95,183392,83.0
1886,Rio,2011,6.9,63,183092,69.0
1887,Bad Teacher,2011,5.6,47,174993,56.0
1888,Hanna,2011,6.8,65,172068,68.0
1889,Tinker Tailor Soldier Spy,2011,7.1,85,167717,71.0
1890,The Raid: Redemption,2011,7.6,73,166893,76.0
1891,Shame,2011,7.2,72,164834,72.0
1892,Battle Los Angeles,2011,5.8,37,163628,58.0
1893,The Tree of Life,2011,6.8,85,151020,68.0
1894,The Change-Up,2011,6.3,39,148701,63.0
1895,Immortals,2011,6.0,46,148546,60.0
1896,Melancholia,2011,7.1,80,145883,71.0
1897,The Green Hornet,2011,5.8,39,145166,58.0
1898,The Mechanic,2011,6.6,49,135978,66.0
1899,War Horse,2011,7.2,72,130529,72.0
1900,Puss in Boots,2011,6.7,65,127283,67.0
1901,Cars 2,2011,6.2,57,125721,62.0
1902,We Bought a Zoo,2011,7.1,58,122415,71.0
1903,One Day,2011,7.0,48,121470,70.0
1904,Tower Heist,2011,6.2,59,120224,62.0
1905,The Skin I Live In,2011,7.6,70,117441,76.0
1906,We Need to Talk About Kevin,2011,7.5,68,115768,75.0
1907,Killer Elite,2011,6.5,44,114045,65.0
1908,Scream 4,2011,6.2,52,113842,62.0
1909,J. Edgar,2011,6.6,59,112397,66.0
1910,Hall Pass,2011,5.9,45,110815,59.0
1911,Carnage,2011,7.2,61,107098,72.0
1912,The Thing,2011,6.2,49,106377,62.0
1913,Priest,2011,5.7,41,104706,57.0
1914,Water for Elephants,2011,6.9,52,102926,69.0
1915,Margin Call,2011,7.1,76,102870,71.0
1916,Johnny English Reborn,2011,6.3,46,100085,63.0
1917,Red Riding Hood,2011,5.4,29,99194,54.0
1918,Ghost Rider: Spirit of Vengeance,2011,4.3,34,98755,43.0
1919,The Three Musketeers,2011,5.8,35,95851,58.0
1920,Final Destination 5,2011,5.9,50,93505,59.0
1921,The Rum Diary,2011,6.2,56,92564,62.0
1922,The Iron Lady,2011,6.4,54,92495,64.0
1923,Fright Night,2011,6.4,64,91787,64.0
1924,Your Highness,2011,5.5,31,90906,55.0
1925,Attack the Block,2011,6.6,75,90543,66.0
1926,Extremely Loud & Incredibly Close,2011,6.9,46,90362,69.0
1927,A Dangerous Method,2011,6.4,76,89902,64.0
1928,Headhunters,2011,7.6,72,88358,76.0
1929,Conan the Barbarian,2011,5.2,36,88031,52.0
1930,Drive Angry,2011,5.4,44,87664,54.0
1931,30 Minutes or Less,2011,6.1,49,84673,61.0
1932,Colombiana,2011,6.4,45,84026,64.0
1933,Paranormal Activity 3,2011,5.8,59,83156,58.0
1934,Season of the Witch,2011,5.4,28,82803,54.0
1935,The Rite,2011,6.0,38,82715,60.0
1936,The Best Exotic Marigold Hotel,2011,7.3,62,82583,73.0
1937,Another Earth,2011,7.0,66,82406,70.0
1938,The Muppets,2011,7.1,75,80445,71.0
1939,Take Shelter,2011,7.4,85,79601,74.0
1940,Our Idiot Brother,2011,6.4,60,79019,64.0
1941,Goon,2011,6.8,64,77950,68.0
1942,My Week with Marilyn,2011,7.0,65,77299,70.0
1943,Haywire,2011,5.8,67,76983,58.0
1944,Mr. Popper's Penguins,2011,6.0,53,76346,60.0
1945,Justin Bieber: Never Say Never,2011,1.6,52,74862,16.0
1946,You're Next,2011,6.5,66,74800,65.0
1947,The Smurfs,2011,5.5,30,74480,55.0
1948,New Year's Eve,2011,5.7,22,73569,57.0
1949,The Guard,2011,7.3,78,72435,73.0
1950,Jane Eyre,2011,7.4,76,71534,74.0
1951,The Inbetweeners Movie,2011,6.8,44,70333,68.0
1952,Young Adult,2011,6.3,71,70275,63.0
1953,Beastly,2011,5.6,40,70177,56.0
1954,Abduction,2011,5.1,25,70154,51.0
1955,Jack and Jill,2011,3.4,23,67629,34.0
1956,Detachment,2011,7.7,52,66035,77.0
1957,What's Your Number?,2011,6.1,35,65501,61.0
1958,Killer Joe,2011,6.7,62,65488,67.0
1959,God Bless America,2011,7.2,56,64547,72.0
1960,The Sitter,2011,5.7,39,64086,57.0
1961,A Very Harold & Kumar 3D Christmas,2011,6.3,61,60119,63.0
1962,The Eagle,2011,6.2,55,59107,62.0
1963,"Jeff, Who Lives at Home",2011,6.5,60,59010,65.0
1964,Machine Gun Preacher,2011,6.8,43,58209,68.0
1965,Red State,2011,6.2,50,57816,62.0
1966,The Awakening,2011,6.5,53,57654,65.0
1967,The Devil's Double,2011,7.1,52,57129,71.0
1968,Dream House,2011,6.0,35,57007,60.0
1969,Salmon Fishing in the Yemen,2011,6.8,58,56803,68.0
1970,Larry Crowne,2011,6.1,41,55946,61.0
1971,Like Crazy,2011,6.7,68,53672,67.0
1972,The Darkest Hour,2011,4.9,18,53594,49.0
1973,Something Borrowed,2011,5.9,36,52513,59.0
1974,Bernie,2011,6.8,75,52070,68.0
1975,The Art of Getting By,2011,6.6,36,51727,66.0
1976,Win Win,2011,7.2,75,50902,72.0
1977,Sanctum,2011,5.9,42,50120,59.0
1978,Apollo 18,2011,5.2,24,50091,52.0
1979,Zookeeper,2011,5.2,30,50079,52.0
1980,Perfect Sense,2011,7.1,55,48769,71.0
1981,Arthur,2011,5.7,36,47958,57.0
1982,Gnomeo & Juliet,2011,6.0,53,47475,60.0
1983,Take Me Home Tonight,2011,6.3,42,47089,63.0
1984,The Dilemma,2011,5.3,46,47015,53.0
1985,Grave Encounters,2011,6.1,33,45972,61.0
1986,Don 2,2011,7.1,49,44406,71.0
1987,Martha Marcy May Marlene,2011,6.9,75,44343,69.0
1988,The Beaver,2011,6.7,60,43878,67.0
1989,The Flowers of War,2011,7.6,46,43622,76.0
1990,Arthur Christmas,2011,7.1,69,42362,71.0
1991,Seeking Justice,2011,6.2,38,41780,62.0
1992,Footloose,2011,5.9,58,41484,59.0
1993,Hobo with a Shotgun,2011,6.1,55,40509,61.0
1994,Soul Surfer,2011,7.1,53,39799,71.0
1995,Kill the Irishman,2011,7.1,50,39538,71.0
1996,Friends with Kids,2011,6.2,55,38440,62.0
1997,The Big Year,2011,6.2,53,38329,62.0
1998,Trespass,2011,5.3,37,38054,53.0
1999,Ironclad,2011,6.2,42,37121,62.0
2000,Monte Carlo,2011,5.8,43,37029,58.0
2001,Anonymous,2011,6.9,50,36953,69.0
2002,Happy Feet Two,2011,5.9,50,36556,59.0
2003,Cedar Rapids,2011,6.3,70,34241,63.0
2004,Ra.One,2011,4.8,60,34180,48.0
2005,The Hunter,2011,6.8,63,33759,68.0
2006,The Divide,2011,5.8,28,32736,58.0
2007,In the Land of Blood and Honey,2011,4.4,56,32451,44.0
2008,The Dark Knight Rises,2012,8.4,78,1315023,84.0
2009,Django Unchained,2012,8.4,81,1136168,84.0
2010,The Avengers,2012,8.1,69,1113398,81.0
2011,The Hunger Games,2012,7.2,68,769737,72.0
2012,The Hobbit: An Unexpected Journey,2012,7.9,58,697558,79.0
2013,Silver Linings Playbook,2012,7.8,81,596213,78.0
2014,Skyfall,2012,7.8,81,571873,78.0
2015,Prometheus,2012,7.0,64,520166,70.0
2016,Ted,2012,7.0,62,518693,70.0
2017,Argo,2012,7.7,86,512351,77.0
2018,Life of Pi,2012,7.9,79,505759,79.0
2019,The Amazing Spider-Man,2012,7.0,66,502465,70.0
2020,Looper,2012,7.4,84,479220,74.0
2021,21 Jump Street,2012,7.2,69,457968,72.0
2022,The Perks of Being a Wallflower,2012,8.0,67,404048,80.0
2023,The Cabin in the Woods,2012,7.0,72,319047,70.0
2024,Brave,2012,7.1,69,316922,71.0
2025,Cloud Atlas,2012,7.5,55,315608,75.0
2026,Wreck-It Ralph,2012,7.7,72,312872,77.0
2027,Men in Black 3,2012,6.8,58,292758,68.0
2028,Flight,2012,7.3,76,289842,73.0
2029,Moonrise Kingdom,2012,7.8,84,276178,78.0
2030,Les Misérables,2012,7.6,63,273183,76.0
2031,The Expendables 2,2012,6.6,51,268671,66.0
2032,Jack Reacher,2012,7.0,50,267924,70.0
2033,Taken 2,2012,6.3,45,262971,63.0
2034,The Bourne Legacy,2012,6.7,61,258498,67.0
2035,Snow White and the Huntsman,2012,6.1,57,250244,61.0
2036,Pitch Perfect,2012,7.2,66,243854,72.0
2037,Zero Dark Thirty,2012,7.4,95,240020,74.0
2038,The Dictator,2012,6.4,58,238352,64.0
2039,John Carter,2012,6.6,51,231050,66.0
2040,Dredd,2012,7.1,60,226165,71.0
2041,Chronicle,2012,7.1,69,222664,71.0
2042,The Hunt,2012,8.3,77,221743,83.0
2043,Total Recall,2012,6.3,43,221012,63.0
2044,Dark Shadows,2012,6.2,55,220244,62.0
2045,Lincoln,2012,7.4,86,220020,74.0
2046,Battleship,2012,5.8,41,218780,58.0
2047,The Place Beyond the Pines,2012,7.3,68,215674,73.0
2048,Seven Psychopaths,2012,7.2,66,212807,72.0
2049,Lawless,2012,7.3,58,206136,73.0
2050,The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,52,204456,55.0
2051,End of Watch,2012,7.6,68,203690,76.0
2052,Hotel Transylvania,2012,7.1,47,189716,71.0
2053,Sinister,2012,6.8,53,186718,68.0
2054,American Reunion,2012,6.7,49,185832,67.0
2055,Safe House,2012,6.8,52,183259,68.0
2056,Project X,2012,6.7,48,171998,67.0
2057,The Impossible,2012,7.6,73,167942,76.0
2058,Wrath of the Titans,2012,5.7,37,166581,57.0
2059,The Vow,2012,6.8,43,166046,68.0
2060,Ice Age: Continental Drift,2012,6.6,49,165111,66.0
2061,This Means War,2012,6.3,31,161943,63.0
2062,The Woman in Black,2012,6.4,62,159161,64.0
2063,Mud,2012,7.4,76,150885,74.0
2064,Rise of the Guardians,2012,7.3,57,138760,73.0
2065,Abraham Lincoln: Vampire Hunter,2012,5.9,42,138545,59.0
2066,Madagascar 3: Europe's Most Wanted,2012,6.9,60,136672,69.0
2067,Man on a Ledge,2012,6.6,40,134302,66.0
2068,Underworld Awakening,2012,6.4,39,133643,64.0
2069,The Master,2012,7.1,86,123022,71.0
2070,Killing Them Softly,2012,6.2,64,120798,62.0
2071,Resident Evil: Retribution,2012,5.4,39,120597,54.0
2072,Spring Breakers,2012,5.3,63,120589,53.0
2073,Magic Mike,2012,6.1,72,119528,61.0
2074,The Campaign,2012,6.1,50,115207,61.0
2075,This Is 40,2012,6.2,59,113168,62.0
2076,The Watch,2012,5.7,36,112442,57.0
2077,Savages,2012,6.5,59,112016,65.0
2078,Safety Not Guaranteed,2012,7.0,72,109184,70.0
2079,Contraband,2012,6.5,51,108363,65.0
2080,Premium Rush,2012,6.5,66,102841,65.0
2081,Seeking a Friend for the End of the World,2012,6.7,59,98565,67.0
2082,Get the Gringo,2012,7.0,60,95158,70.0
2083,Safe,2012,6.5,55,92734,65.0
2084,The Lucky One,2012,6.5,39,89428,65.0
2085,Ruby Sparks,2012,7.2,67,88215,72.0
2086,Lockout,2012,6.1,48,87516,61.0
2087,The Lorax,2012,6.4,46,86313,64.0
2088,The Five-Year Engagement,2012,6.2,62,85159,62.0
2089,Frankenweenie,2012,7.0,74,84636,70.0
2090,ParaNorman,2012,7.0,72,82853,70.0
2091,Amour,2012,7.9,94,80914,79.0
2092,Anna Karenina,2012,6.6,63,80802,66.0
2093,Here Comes the Boom,2012,6.4,40,79842,64.0
2094,That's My Boy,2012,5.6,31,79008,56.0
2095,Journey 2: The Mysterious Island,2012,5.8,41,78527,58.0
2096,The Raven,2012,6.4,44,77967,64.0
2097,Mirror Mirror,2012,5.6,46,76920,56.0
2098,To Rome with Love,2012,6.3,54,76762,63.0
2099,Stuck in Love,2012,7.3,49,76017,73.0
2100,Beasts of the Southern Wild,2012,7.3,86,75662,73.0
2101,Disconnect,2012,7.6,64,68100,76.0
2102,Red Dawn,2012,5.4,31,67543,54.0
2103,The Words,2012,7.1,37,67451,71.0
2104,Rock of Ages,2012,5.9,47,67444,59.0
2105,Wanderlust,2012,5.6,53,67129,56.0
2106,Hitchcock,2012,6.8,55,66094,68.0
2107,Upside Down,2012,6.4,45,64284,64.0
2108,House at the End of the Street,2012,5.6,31,64214,56.0
2109,What to Expect When You're Expecting,2012,5.7,41,63354,57.0
2110,The Iceman,2012,6.9,60,62753,69.0
2111,Gangs of Wasseypur,2012,8.2,89,62407,82.0
2112,Act of Valor,2012,6.5,40,62248,65.0
2113,The First Time,2012,6.9,55,59295,69.0
2114,Robot & Frank,2012,7.1,67,57449,71.0
2115,The Man with the Iron Fists,2012,5.4,51,57026,54.0
2116,Rust and Bone,2012,7.5,73,56301,75.0
2117,Paranormal Activity 4,2012,4.6,40,56221,46.0
2118,Searching for Sugar Man,2012,8.2,79,55878,82.0
2119,Frances Ha,2012,7.4,82,55787,74.0
2120,Silent Hill: Revelation,2012,5.0,16,54920,50.0
2121,Trouble with the Curve,2012,6.8,58,53660,68.0
2122,Red Lights,2012,6.2,36,53461,62.0
2123,The Possession,2012,5.9,45,51791,59.0
2124,V/H/S,2012,5.8,55,50612,58.0
2125,Step Up Revolution,2012,6.5,43,49725,65.0
2126,Stand Up Guys,2012,6.5,41,49210,65.0
2127,Arbitrage,2012,6.6,73,45496,66.0
2128,Bullet to the Head,2012,5.7,48,43218,57.0
2129,Bachelorette,2012,5.3,53,41548,53.0
2130,The Odd Life of Timothy Green,2012,6.6,47,41293,66.0
2131,Cosmopolis,2012,5.0,58,40636,50.0
2132,The Collection,2012,6.1,38,40429,61.0
2133,The Imposter,2012,7.5,77,40346,75.0
2134,Stolen,2012,5.5,43,40166,55.0
2135,Kon-Tiki,2012,7.2,62,39663,72.0
2136,Think Like a Man,2012,6.6,51,39492,66.0
2137,A Royal Affair,2012,7.6,73,39187,76.0
2138,The Sessions,2012,7.2,79,38940,72.0
2139,People Like Us,2012,7.1,49,38270,71.0
2140,Gone,2012,5.9,36,37825,59.0
2141,Hope Springs,2012,6.3,65,37522,63.0
2142,One for the Money,2012,5.3,22,37294,53.0
2143,On the Road,2012,6.1,56,36764,61.0
2144,Byzantium,2012,6.5,66,36388,65.0
2145,Deadfall,2012,6.3,52,35442,63.0
2146,Piranha 3DD,2012,3.8,24,35171,38.0
2147,Holy Motors,2012,7.1,84,34883,71.0
2148,The Tall Man,2012,5.9,52,34727,59.0
2149,A Thousand Words,2012,5.9,26,34650,59.0
2150,The Broken Circle Breakdown,2012,7.8,70,34584,78.0
2151,Talaash,2012,7.2,65,34082,72.0
2152,Promised Land,2012,6.6,55,33460,66.0
2153,John Dies at the End,2012,6.4,53,33370,64.0
2154,Liberal Arts,2012,6.7,55,32889,67.0
2155,The Guilt Trip,2012,5.8,50,32842,58.0
2156,The Devil Inside,2012,4.2,18,32567,42.0
2157,The Paperboy,2012,5.8,45,32571,58.0
2158,The Cold Light of Day,2012,4.9,22,31951,49.0
2159,Hit and Run,2012,6.1,50,31626,61.0
2160,Maniac,2012,6.1,47,30953,61.0
2161,Red Tails,2012,5.9,46,30920,59.0
2162,Alex Cross,2012,5.1,30,30216,51.0
2163,Would You Rather,2012,5.7,20,29995,57.0
2164,[REC] 3: Genesis,2012,5.0,45,29302,50.0
2165,The Act of Killing,2012,8.2,89,29229,82.0
2166,The Company You Keep,2012,6.4,57,28740,64.0
2167,Chasing Mavericks,2012,7.2,45,28062,72.0
2168,Compliance,2012,6.4,68,27586,64.0
2169,The Three Stooges,2012,5.1,56,27552,51.0
2170,Wolf Children,2012,8.2,71,27516,82.0
2171,Celeste & Jesse Forever,2012,6.6,59,26769,66.0
2172,Playing for Keeps,2012,5.7,27,26582,57.0
2173,The Wolf of Wall Street,2013,8.2,75,959034,82.0
2174,Gravity,2013,7.8,96,669267,78.0
2175,Iron Man 3,2013,7.2,62,640962,72.0
2176,Man of Steel,2013,7.1,55,617191,71.0
2177,The Hunger Games: Catching Fire,2013,7.5,76,553966,75.0
2178,The Hobbit: The Desolation of Smaug,2013,7.9,66,542878,79.0
2179,12 Years a Slave,2013,8.1,96,541122,81.0
2180,World War Z,2013,7.0,63,527760,70.0
2181,Now You See Me,2013,7.3,50,526922,73.0
2182,Thor: The Dark World,2013,7.0,54,493554,70.0
2183,Prisoners,2013,8.1,74,488903,81.0
2184,Frozen,2013,7.5,74,487029,75.0
2185,Star Trek: Into Darkness,2013,7.7,72,434568,77.0
2186,Oblivion,2013,7.0,54,433860,70.0
2187,Her,2013,8.0,90,431954,80.0
2188,Pacific Rim,2013,6.9,65,428727,69.0
2189,The Great Gatsby,2013,7.3,55,412157,73.0
2190,American Hustle,2013,7.3,90,400665,73.0
2191,Dallas Buyers Club,2013,8.0,84,381714,80.0
2192,The Wolverine,2013,6.7,61,380538,67.0
2193,Elysium,2013,6.6,61,380114,66.0
2194,Rush,2013,8.1,75,372483,81.0
2195,Captain Phillips,2013,7.8,83,369541,78.0
2196,The Conjuring,2013,7.5,68,362392,75.0
2197,We're the Millers,2013,7.0,44,355503,70.0
2198,This Is the End,2013,6.6,67,346399,66.0
2199,Fast & Furious 6,2013,7.1,61,334681,71.0
2200,Despicable Me 2,2013,7.4,62,326956,74.0
2201,Monsters University,2013,7.3,65,273379,73.0
2202,The Secret Life of Walter Mitty,2013,7.3,54,264503,73.0
2203,The Hangover Part III,2013,5.8,30,256154,58.0
2204,About Time,2013,7.8,55,242890,78.0
2205,Lone Survivor,2013,7.5,60,234993,75.0
2206,Kick-Ass 2,2013,6.6,41,228067,66.0
2207,Olympus Has Fallen,2013,6.5,41,226514,65.0
2208,Snowpiercer,2013,7.0,84,221120,70.0
2209,The World's End,2013,7.0,81,219182,70.0
2210,Don Jon,2013,6.6,66,209428,66.0
2211,Ender's Game,2013,6.7,51,204031,67.0
2212,Warm Bodies,2013,6.9,60,202492,69.0
2213,Escape Plan,2013,6.7,49,201524,67.0
2214,The Lone Ranger,2013,6.5,37,201327,65.0
2215,Gangster Squad,2013,6.7,40,189567,67.0
2216,Oz the Great and Powerful,2013,6.3,44,187781,63.0
2217,White House Down,2013,6.4,52,183661,64.0
2218,A Good Day to Die Hard,2013,5.3,28,181350,53.0
2219,Pain & Gain,2013,6.4,45,178487,64.0
2220,Hansel & Gretel: Witch Hunters,2013,6.1,23,176269,61.0
2221,After Earth,2013,4.9,33,175268,49.0
2222,2 Guns,2013,6.7,55,174413,67.0
2223,The Internship,2013,6.3,42,174064,63.0
2224,Blue Jasmine,2013,7.3,78,172089,73.0
2225,The Croods,2013,7.2,55,169411,72.0
2226,The Purge,2013,5.7,41,168412,57.0
2227,Side Effects,2013,7.1,75,162934,71.0
2228,G.I. Joe: Retaliation,2013,5.8,41,158857,58.0
2229,Mama,2013,6.2,57,152845,62.0
2230,Anchorman 2: The Legend Continues,2013,6.3,61,148091,63.0
2231,The Heat,2013,6.6,60,147485,66.0
2232,RED 2,2013,6.6,47,142171,66.0
2233,Evil Dead,2013,6.5,57,140829,65.0
2234,Riddick,2013,6.4,49,139309,64.0
2235,Saving Mr. Banks,2013,7.5,65,132797,75.0
2236,Insidious: Chapter 2,2013,6.6,40,131689,66.0
2237,47 Ronin,2013,6.3,28,130099,63.0
2238,Enemy,2013,6.9,61,129853,69.0
2239,"The Way, Way Back",2013,7.4,68,128376,74.0
2240,The Spectacular Now,2013,7.1,82,125707,71.0
2241,The Last Stand,2013,6.4,54,123343,64.0
2242,Begin Again,2013,7.4,62,123138,74.0
2243,Grown Ups 2,2013,5.4,19,122411,54.0
2244,Carrie,2013,5.9,53,120269,59.0
2245,Jack the Giant Slayer,2013,6.3,51,118104,63.0
2246,The Mortal Instruments: City of Bones,2013,5.9,33,117855,59.0
2247,Last Vegas,2013,6.6,48,117531,66.0
2248,Inside Llewyn Davis,2013,7.5,93,116179,75.0
2249,Blue Is the Warmest Color,2013,7.8,88,115360,78.0
2250,Before Midnight,2013,7.9,94,115150,79.0
2251,The Book Thief,2013,7.6,53,114163,76.0
2252,Locke,2013,7.1,81,111627,71.0
2253,Identity Thief,2013,5.7,35,109202,57.0
2254,Under the Skin,2013,6.3,78,104475,63.0
2255,R.I.P.D.,2013,5.6,25,104097,56.0
2256,The Host,2013,5.9,35,102092,59.0
2257,Trance,2013,6.9,61,101928,69.0
2258,Nebraska,2013,7.7,86,101710,77.0
